Set_ID,Time,end_gen,ngen_expt,Ne,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_neutral,shape,scale,mut_ratio,proj,LDdelta,pa,Vs,randomise,pdelta_method,bdelta_method,vA_true,vA_est,pdelta_est,pdelta_var_est,bdelta_intercept_est,bdelta_slope_est,seg_sites,bdelta_var_est,va_lost
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,07:23.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.42E-11,2.42E-07,8.06E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.022590594,0.027882458,-0.257089861,0.185981621,0,0,1852,0_0_0,4.31E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,27:14.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.48E-11,2.48E-07,8.27E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.04815477,0.050172761,0.345683171,0.147479249,0,0,1892,0_0_0,5.90E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,52:32.5,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.55E-11,2.55E-07,8.48E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.050901002,0.045831517,-0.262042552,0.055677705,0,0,1923,0_0_0,5.78E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,18:25.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.61E-11,2.61E-07,8.70E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.034470008,0.039357946,-0.44041723,0.037659402,0,0,2007,0_0_0,4.46E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,38:15.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.67E-11,2.67E-07,8.91E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.027283466,0.017621016,0.467467952,0.333899888,0,0,1944,0_0_0,6.09E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,54:59.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.74E-11,2.74E-07,9.12E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.023358115,0.016566637,0.15261282,0.376354065,0,0,2049,0_0_0,5.54E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,12:34.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.80E-11,2.80E-07,9.33E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.032562102,0.034702778,1.782385448,1.113142052,0,0,2128,0_0_0,5.24E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,25:45.2,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.86E-11,2.86E-07,9.55E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.034781364,0.02942561,2,1.05566916,0,0,2160,0_0_0,6.16E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,43:06.5,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.93E-11,2.93E-07,9.76E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.036890354,0.029370748,0.093840518,0.191464521,0,0,2168,0_0_0,9.53E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,02:27.8,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,2.99E-11,2.99E-07,9.97E-12,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.037301193,0.035641259,-0.09506827,0.126159201,0,0,2279,0_0_0,5.83E-05
