"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left","seg_sites_neu","seg_sites_ben","seg_sites_del","s_pmq","map_length_history","map_length_expt"
"48","bigbird_2024-07-10_05:57:37.595053_1.2e-06_0.14_1.4_1000_10","2024-07-10 06:29:30.391756","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16438,NA,NA,687,0,15751,0.00449021937268235,"0.14","1.4"
"50","bigbird_2024-07-10_06:10:37.663716_1.2e-06_1.4_1.4_1000_10","2024-07-10 07:15:12.134062","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22443,NA,NA,866,0,21577,0.00481358549975898,"1.4","1.4"
"52","bigbird_2024-07-10_06:29:07.590915_1.2e-06_14_1.4_1000_10","2024-07-10 09:49:20.369602","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26001,NA,NA,1040,0,24961,0.0048754871542551,"14","1.4"
"54","bigbird_2024-07-10_06:48:37.597301_1.2e-06_0.14_0.014_1000_10","2024-07-10 07:20:04.240962","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16732,NA,NA,679,0,16053,0.00441871584952094,"0.14","0.014"
"56","bigbird_2024-07-10_06:55:22.610965_1.2e-06_0.14_1.4_1000_10","2024-07-10 07:27:04.318858","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16878,NA,NA,675,0,16203,0.00437443451493094,"0.14","1.4"
"58","bigbird_2024-07-10_07:00:52.717876_1.2e-06_1.4_0.14_1000_10","2024-07-10 08:04:35.197565","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22249,NA,NA,865,0,21384,0.0048280458035353,"1.4","0.14"
"60","bigbird_2024-07-10_07:20:37.630771_1.2e-06_0.014_0.014_1000_10","2024-07-10 07:47:28.50523","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16057,NA,NA,550,0,15507,0.00442954847663544,"0.014","0.014"
"62","bigbird_2024-07-10_07:27:22.586332_1.2e-06_0.014_0.14_1000_10","2024-07-10 07:54:13.574969","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15424,NA,NA,679,0,14745,0.00425597568051721,"0.014","0.14"
"64","bigbird_2024-07-10_07:35:07.634105_1.2e-06_0.14_0.014_1000_10","2024-07-10 08:07:15.589101","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16619,NA,NA,651,0,15968,0.00454941174668472,"0.14","0.014"
"66","bigbird_2024-07-10_07:41:37.626037_1.2e-06_0.14_1.4_1000_10","2024-07-10 08:13:58.389366","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16965,NA,NA,659,0,16306,0.00433125238036597,"0.14","1.4"
