Set_ID,sim,Time,end_gen,ngen1,ngen2,Ne,n_ind,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_expt,shape,scale,mut_ratio,flip_sel_coef,Ve_w,Ve_w_expt,vA_true,vA_true_new,va_true,va_true_new,va_left,va_left_new,time_stamp_va_left
Set_11_bigbird_2024-12-31_04-46-42.061704_3.53818181818182e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 06:24:17.718184,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.53818181818182e-07,3.53818181818182e-06,0,0.3,0.033,2e-04,0,1,1,0.0694698209547794,0.0662804489792217,0.0777012611666356,0.0745818415083659,0.0687296055465599,0.0662792160444749,ac3-n6_2025-04-08_23-04-23.987363
Set_11_bigbird_2024-12-31_05-12-26.596756_3.68981818181818e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 06:54:09.349375,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.68981818181818e-07,3.68981818181818e-06,0,0.3,0.033,2e-04,0,1,1,0.0820360530793534,0.0783827532834374,0.0654188621992692,0.0627894019304784,0.0561709308215297,0.0541556924586209,ac3-n6_2025-04-08_23-15-13.156901
Set_11_bigbird_2024-12-31_05-29-11.607546_3.84145454545454e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 07:12:06.909203,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.84145454545454e-07,3.84145454545454e-06,0,0.3,0.033,2e-04,0,1,1,0.0662370909424262,0.0628476506388617,0.0741991319638774,0.0709265174370891,0.0645431443231052,0.0619504969185037,ac3-n6_2025-04-08_23-19-55.070931
Set_11_bigbird_2024-12-31_05-35-26.581293_3.892e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 07:21:34.856279,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.892e-07,3.892e-06,0,0.3,0.033,2e-04,0,1,1,0.0705453665626706,0.0674576480991343,0.0730316345851166,0.0699183366906622,0.0647830523572337,0.0622405691243747,ac3-n6_2025-04-08_23-19-16.36985
Set_11_bigbird_2024-12-31_05-46-27.043009_3.99309090909091e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 07:41:44.712558,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,3.99309090909091e-07,3.99309090909091e-06,0,0.3,0.033,2e-04,0,1,1,0.075783705930125,0.0724103462967955,0.0771564221676647,0.0738675543595208,0.0677577606584062,0.0651234574410971,ac3-n6_2025-04-08_23-15-55.077936
Set_11_bigbird_2024-12-31_05-57-26.633502_4.09418181818182e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 07:49:30.674945,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.09418181818182e-07,4.09418181818182e-06,0,0.3,0.033,2e-04,0,1,1,0.0760355338307639,0.0727495420671346,0.0851091340045086,0.081619935358048,0.0752583808954131,0.072477983663347,ac3-n5_2025-04-09_00-04-52.243726
Set_11_bigbird_2024-12-31_06-27-11.635882_4.24581818181818e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 08:20:55.460544,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.24581818181818e-07,4.24581818181818e-06,0,0.3,0.033,2e-04,0,1,1,0.0829742528128613,0.0790864536448777,0.0762302192828253,0.0731738389547609,0.0660088132106103,0.0635844918716943,ac3-n6_2025-04-09_00-52-31.849779
Set_11_bigbird_2024-12-31_06-56-41.662727_4.39745454545454e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 08:57:50.345318,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.39745454545454e-07,4.39745454545454e-06,0,0.3,0.033,2e-04,0,1,1,0.0848626923594185,0.0810866082653729,0.0940211845015472,0.0904131026391265,0.0832699059321991,0.0803306199024735,ac3-n6_2025-04-09_00-55-04.583875
Set_11_bigbird_2024-12-31_07-23-11.614539_4.54909090909091e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 09:24:33.33164,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.54909090909091e-07,4.54909090909091e-06,0,0.3,0.033,2e-04,0,1,1,0.0723425791999242,0.0685863767487019,0.0888740014352817,0.0850048720891847,0.0780062524914374,0.0749252938720386,ac3-n6_2025-04-09_01-06-14.798333
Set_11_bigbird_2024-12-31_07-43-26.628974_4.65018181818182e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 09:47:54.144749,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.65018181818182e-07,4.65018181818182e-06,0,0.3,0.033,2e-04,0,1,1,0.0844507968084368,0.0800984005350838,0.098154951108252,0.0940530854748943,0.0859563081702764,0.0827194242386672,ac3-n6_2025-04-09_01-02-52.650076
Set_11_bigbird_2024-12-31_08-04-26.654034_4.80181818181818e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 10:15:50.215589,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.80181818181818e-07,4.80181818181818e-06,0,0.3,0.033,2e-04,0,1,1,0.074936569183735,0.0716258102641506,0.0995702454195507,0.0955855215121504,0.0884254552602689,0.0852435941460677,ac3-n6_2025-04-09_01-06-58.684921
Set_11_bigbird_2024-12-31_08-22-41.598773_4.85236363636364e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 10:31:17.620528,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.85236363636364e-07,4.85236363636364e-06,0,0.3,0.033,2e-04,0,1,1,0.0795717533603052,0.0754408264452395,0.0860607567356892,0.0821861937618959,0.0750509686439997,0.0719377183526501,ac3-n6_2025-04-09_01-05-31.073046
Set_11_bigbird_2024-12-31_08-34-27.051456_4.95345454545454e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 10:47:51.237327,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,4.95345454545454e-07,4.95345454545454e-06,0,0.3,0.033,2e-04,0,1,1,0.0974082666375604,0.092712438999036,0.0988200553438259,0.0949000843051547,0.0864240128803176,0.0834043226043798,ac3-n5_2025-04-09_01-41-49.995012
Set_11_bigbird_2024-12-31_09-26-11.638187_5.20618181818182e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 11:47:04.14992,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.20618181818182e-07,5.20618181818182e-06,0,0.3,0.033,2e-04,0,1,1,0.0909519697895282,0.086818031297983,0.100513831380109,0.0965153614188582,0.0883967408823577,0.0852054045716846,ac3-n6_2025-04-09_02-39-00.027041
Set_11_bigbird_2024-12-31_09-40-42.043462_5.25672727272727e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 11:54:08.398243,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.25672727272727e-07,5.25672727272727e-06,0,0.3,0.033,2e-04,0,1,1,0.0897790823282239,0.0851923019239537,0.107244692952567,0.103078113245213,0.0966452032549823,0.0932581640182958,ac3-n6_2025-04-09_02-41-50.350132
Set_11_bigbird_2024-12-31_10-16-27.05001_5.40836363636364e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 12:36:24.240459,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.40836363636364e-07,5.40836363636364e-06,0,0.3,0.033,2e-04,0,1,1,0.113877255520624,0.108664127450221,0.108221829508137,0.10380408154409,0.0942483240667802,0.0907438198735325,ac3-n6_2025-04-09_02-49-26.407955
Set_11_bigfoot_2024-12-31_00-34-42.505949_8.59272727272727e-08_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:10:58.34735,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,8.59272727272727e-08,8.59272727272727e-07,0,0.3,0.033,2e-04,0,1,1,0.0164237133935591,0.0156891884151441,0.0176362871958346,0.0169125182705008,0.0156245334902352,0.0150456331770665,ac3-n6_2025-04-09_02-54-33.572507
Set_11_bigfoot_2024-12-31_00-34-42.506485_1.01090909090909e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:13:33.007755,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.01090909090909e-07,1.01090909090909e-06,0,0.3,0.033,2e-04,0,1,1,0.0197899010902408,0.0189502928078503,0.0207320668419145,0.0198389605116902,0.0186181369142043,0.0178772533871993,ac3-n6_2025-04-09_02-55-39.631552
Set_11_bigfoot_2024-12-31_01-16-26.575264_1.56690909090909e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 02:08:35.478217,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.56690909090909e-07,1.56690909090909e-06,0,0.3,0.033,2e-04,0,1,1,0.0324900566191007,0.0310082426790813,0.0318435460168161,0.0305171728009982,0.0278109053117963,0.0267767053477099,ac3-n6_2025-04-09_02-55-04.961751
Set_11_bigfoot_2024-12-31_02-40-27.594811_2.47672727272727e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 03:49:14.397239,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,2.47672727272727e-07,2.47672727272727e-06,0,0.3,0.033,2e-04,0,1,1,0.0466091983131532,0.0444699841455438,0.0549442198719476,0.0526254266627087,0.0487558616554027,0.0468738426752753,ac3-n5_2025-04-09_03-19-53.518274
Set_11_bigfoot_2024-12-31_10-17-27.607177_5.50945454545455e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 12:44:46.81659,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.50945454545455e-07,5.50945454545455e-06,0,0.3,0.033,2e-04,0,1,1,0.090388109611192,0.0861465751651776,0.118832306109234,0.113992705198939,0.106332272925079,0.102298913686398,ac3-n6_2025-04-09_04-29-17.209413
Set_11_biggar_2024-12-31_00-34-41.61833_7.58181818181818e-08_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 00:52:06.251618,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,7.58181818181818e-08,7.58181818181818e-07,0,0.3,0.033,2e-04,0,1,1,0.0159451774202762,0.0152461498528049,0.0161877114298658,0.0155110535605728,0.0142257978172405,0.0136970806176075,ac3-n6_2025-04-09_04-34-24.103446
Set_11_biggar_2024-12-31_00-34-41.621951_7.07636363636364e-08_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 00:50:51.18854,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,7.07636363636364e-08,7.07636363636364e-07,0,0.3,0.033,2e-04,0,1,1,0.0142187883601593,0.0136378054400776,0.0143357520757974,0.0137711078567686,0.0124485485156776,0.0120093782102235,ac3-n6_2025-04-09_04-43-01.650023
Set_11_biggar_2024-12-31_00-34-41.62306_5.56e-08_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 00:49:32.235799,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,5.56e-08,5.56e-07,0,0.3,0.033,2e-04,0,1,1,0.0111172422126949,0.0106601977734065,0.0108255472821653,0.0103822526043822,0.0093444393186826,0.00901479193275617,ac3-n6_2025-04-09_04-49-57.339166
