Set_ID,sim,Time,end_gen,ngen1,ngen2,Ne,n_ind,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_expt,shape,scale,mut_ratio,flip_sel_coef,Ve_w,Ve_w_expt,proj,LDalpha,pa,Vs,randomise,palpha_method,balpha_method,Ne_exp,va_true,vA_true,vA_est,vA_alpha_emp,vA_BC,Ne_BC,Residual_var,palpha_emp,balpha_intercept_emp,balpha_slope_emp,sigma2alpha_emp,palpha_est,palpha_var_est,balpha_intercept_est,balpha_slope_est,balpha_var_est,sigma2alpha_est,seg_sites,seg_sites_neu,seg_sites_ben,seg_sites_del,mean_diversity,theta,all.gp,analysis_stamp
Set_N1_bigbird_2025-01-21_14-57-56.900975_5.23636363636364e-08_50_2_1000_10_4_0_0,1,2025-01-21 17:38:14.891282,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,5.23636363636364e-08,5.23636363636364e-07,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0154249543302664,0.0146557832368521,0.0105151340649216,0.0183891647719536,NA,NA,1.20260015245091,-1.39074668375153,5.97573842476386e-06,0.000322738470205752,2.3850915059923e-08,-0.501926557048537,0.746340249680925,6.95823564375416e-05,0.000747779129948214,1.0872407207417e-07_2.71740095111382e-07_-1.48400733598813e-09,1.31671400196326e-06,67742,56490,5624,5628,0.0259140361832393,0.00828357698384668,FALSE,bigwig_2025-01-28_12-47-06.732698
Set_N1_bigbird_2025-01-21_17-10-56.616254_9.16363636363636e-08_50_2_1000_10_4_0_0,1,2025-01-21 20:21:38.881975,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,9.16363636363636e-08,9.16363636363636e-07,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0245110373311163,0.0228362133511307,0.0284244239586632,0.0267660849856891,NA,NA,1.15060984365574,-1.30350260943525,-4.58597225057218e-06,0.000664737009695467,6.10755502247691e-08,-0.240152627557938,0.621038013691216,0.00014427439404835,0.000756890012549741,1.21614960540809e-07_3.29452384006297e-07_-1.36753347752628e-08,8.90669955177438e-06,67223,47993,9526,9704,0.0238478702899305,0.00822011301091088,FALSE,bigfoot_2025-01-28_12-40-20.400649
Set_N1_bigbird_2025-01-21_17-51-41.591126_1.04727272727273e-07_50_2_1000_10_4_0_0,1,2025-01-21 21:10:55.630961,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,1.04727272727273e-07,1.04727272727273e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0301278152046741,0.0312108074888288,0.0222485282112373,0.032782513239752,NA,NA,1.20506321740435,-1.28606390304586,5.78606833445165e-06,0.000782435371805989,8.32536976660073e-08,1.0856636827679,6.15291254521112,-0.000129046334630507,0.00211610996350437,1.3019130165324e-07_3.10304897164252e-07_3.14861214612104e-09,0.000180010284869678,67515,46288,10627,10600,0.0240799016681478,0.0082558191382659,FALSE,bigfoot_2025-01-28_12-49-43.66973
Set_N1_bigbird_2025-01-21_18-09-12.024482_1.08e-07_50_2_1000_10_4_0_0,1,2025-01-21 21:34:58.618412,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,1.08e-07,1.08e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0305472070714171,0.0293254985245814,0.0134691970865114,0.0330670269282303,NA,NA,1.1489494157445,-1.28541701802344,7.96502237486457e-06,0.000782797276949574,8.41665877781283e-08,0.0883756333678321,4.26291219453717,-0.000254433565279172,0.00071685249557077,1.19750815929866e-07_2.78315097564378e-07_-4.16571373177041e-09,1.06409598259933e-05,67391,45504,10949,10938,0.0237635145345818,0.00824065626226582,FALSE,biggar_2025-01-28_13-03-02.268628
Set_N1_bigbird_2025-01-21_18-41-42.089395_1.17818181818182e-07_50_2_1000_10_4_0_0,1,2025-01-21 22:17:46.901664,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,1.17818181818182e-07,1.17818181818182e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0321227494048583,0.0328301484693822,0.0321280161100704,0.0340891221399324,NA,NA,1.20095734024817,-1.2460823902654,-4.39080787690852e-06,0.000945167609802376,1.10837086010453e-07,-0.485042205281077,0.289188299577236,-0.000540597582826782,0.0019765128500212,1.27193449329348e-07_3.02998400709309e-07_-6.81071498884e-09,4.19605162346523e-06,67696,43984,11753,11959,0.0234407153192212,0.00827795204597568,FALSE,biggar_2025-01-28_13-44-46.158295
Set_N1_bigbird_2025-01-21_20-56-41.652272_1.50545454545455e-07_50_2_1000_10_4_0_0,1,2025-01-22 00:54:22.840814,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,1.50545454545455e-07,1.50545454545455e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0415167560634633,0.0429417083022648,0.0281329987689011,0.0428453770039892,NA,NA,1.26235398886208,-1.1879281192154,5.08152872709369e-06,0.00130071168615632,1.96610130549799e-07,-0.705382024482328,0.226989013347515,-0.000192641544702863,0.000767062112289211,1.48120868632473e-07_3.31365281252209e-07_1.35926923879079e-08,1.78758570149529e-06,67792,37989,14845,14958,0.0218846714029679,0.00828969104674993,FALSE,bigbird_2025-01-28_20-00-05.764722
Set_N1_bigbird_2025-01-21_21-47-26.5964_1.63636363636364e-07_50_2_1000_10_4_0_0,1,2025-01-22 02:01:26.980204,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,1.63636363636364e-07,1.63636363636364e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.046335456409473,0.0469974505378852,0.029902541478464,0.0474203883152232,NA,NA,1.27517950403505,-1.16928841446242,-3.88013579443498e-06,0.00149229930781728,2.46734541181069e-07,-0.0600603198108729,1.22922910181811,-0.000113189028943031,0.00121957472792308,1.51540537299337e-07_3.69923779633338e-07_-1.56928062041838e-08,1.68600175996082e-05,67316,35689,15743,15884,0.0219165917612455,0.00823148516791094,FALSE,bigbird_2025-01-28_19-52-39.076833
Set_N1_bigbird_2025-01-21_22-28-26.603188_1.76727272727273e-07_50_2_1000_10_4_0_0,1,2025-01-22 02:53:16.216052,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,1.76727272727273e-07,1.76727272727273e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0484194553455283,0.053864477680651,0.0283107475394804,0.0493755036137993,NA,NA,1.28906414884061,-1.16336994814272,4.43410989160048e-06,0.00167954383609124,2.6263138981611e-07,2,20.1675868903084,0.000497083988047731,0.002149886588407,1.6176421266137e-07_3.95803082966446e-07_-3.49290372161543e-09,0.0022912785005007,67414,32411,17437,17566,0.0208662860626131,0.00824346873120132,FALSE,bigfoot_2025-01-28_20-41-16.591658
Set_N1_bigbird_2025-01-22_00-09-26.815281_1.99636363636364e-07_50_2_1000_10_4_0_0,1,2025-01-22 05:01:09.324581,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,1.99636363636364e-07,1.99636363636364e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0551618630153844,0.0530235995522999,0.0224617256074126,0.0557923868226414,NA,NA,1.37654129961922,-1.13044145474277,2.61812789694626e-06,0.00200863610747265,3.57708851137536e-07,0.0949211448642018,11.673244217463,-5.19463954169587e-05,0.00271047700318131,1.71314524780352e-07_3.81988156833853e-07_-1.01803141002038e-08,1.7255298671811e-05,67840,29629,18949,19262,0.0204285249723614,0.00829556054713706,FALSE,bigwig_2025-01-28_20-44-59.133818
Set_N1_bigbird_2025-01-22_01-47-26.589289_2.19272727272727e-07_50_2_1000_10_4_0_0,1,2025-01-22 06:48:37.821161,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-05,2e-06,2.19272727272727e-07,2.19272727272727e-06,0,0.3,0.045,0,0,1,1,BLoM,FALSE,1,LoNL,TRUE,NA,NA_NA,1000_367.879441171442,0.0593918925107737,0.0618859150702155,0.0273630611691432,0.0600894702583234,NA,NA,1.26204426039473,-1.0713790894647,-2.52126466603227e-05,0.00244322311470164,5.42589567362206e-07,0.191956123671844,4.28626918334084,-0.000679282217877246,0.00218372858228255,1.62109088732521e-07_3.54258161392967e-07_1.2903835449514e-08,3.04730590302484e-05,67615,26075,20816,20724,0.0195860319326333,0.00826804726407241,FALSE,bigfoot_2025-01-28_20-56-48.718216
