"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"bigbird_2024-07-02_00:17:04.639261_4.2020202020202e-09_1.4_100_10_3","2024-07-02 00:18:29.550039","2","3","1330000","100","10","1e+06","2.63157894736842e-09","1.4e-06","1.4e-06","7.89853421432368e-12","4.2020202020202e-09","2.63284473810789e-12","0.3","0.033","1","BLoM","FALSE","1","LoNL","TRUE","optim","estimate","0.023464146757191","2.35631246376398e-05","7.86249074735679e-05","2284.69948628779","0.00590997564324186","0.0217715725065707","300","0.000100320828914136_0.000302881234792838_1.81046976464378e-05","0.0234201569302345"
"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"bigbird_2024-07-02_00:18:49.59909_4.37373737373737e-09_0.014_1000_10_3","2024-07-02 00:21:01.492965","2","3","1330000","1000","10","1e+06","2.63157894736842e-11","1.4e-08","1.4e-08","8.22131085288979e-12","4.37373737373737e-09","2.74043695096326e-12","0.3","0.033","1","BLoM","FALSE","1","LoNL","TRUE","optim","estimate","0.0380677856106228","0.0404235504372404","0.289917199595687","0.143753566994059","0.00214916090253151","-0.00236929282952395","464","5.46766449692968e-05_5.98350462093993e-05_1.19300486579789e-05","0.0380381403498156"
"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"bigbird_2024-07-02_00:21:04.653382_4.54545454545455e-09_0.14_1000_10_3","2024-07-02 00:22:42.416121","2","3","1330000","1000","10","1e+06","2.63157894736842e-10","1.4e-07","1.4e-07","8.54408749145592e-12","4.54545454545455e-09","2.84802916381864e-12","0.3","0.033","1","BLoM","FALSE","1","LoNL","TRUE","optim","estimate","0.0231289803788168","0.0226596413098958","-0.526152060790663","0.0681328602611828","-0.00207483896080856","0.00387172861843128","477","1.9353227578026e-05_4.91792362215584e-05_3.7345611055158e-06","0.0231309664159329"
"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
"bigbird_2024-07-02_00:22:49.645741_4.54545454545455e-09_1.4_1000_3_3","2024-07-02 00:24:39.354702","2","3","1330000","1000","3","1e+06","2.63157894736842e-09","1.4e-06","1.4e-06","8.54408749145592e-12","4.54545454545455e-09","2.84802916381864e-12","0.3","0.033","1","BLoM","FALSE","1","LoNL","TRUE","optim","estimate","0.0224431384523658","0.0378270450162346","-0.589417615802286","0.0424708164743337","0.00167871257563381","-0.00617504076834567","457","3.59034761931688e-05_9.58910577903707e-05_-1.30138382148979e-06","0.0224004331050992"
"Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left"
